horse_id	日付	開催	天気	R	レース名	映像	頭数	枠番	馬番	オッズ	人気	着順	騎手	斤量	距離	馬場	馬場指数	タイム	着差	ﾀｲﾑ指数	通過	ペース	上り	馬体重	厩舎ｺﾒﾝﾄ	備考	勝ち馬(2着馬)	賞金
2022105102	2024/12/28	5中山9	晴	11	ホープフルS(GI)		18	3	6	1.8	1	1	北村友一	56	芝2000	良	**	2:00.5	-0.3	**	7-7-4-3	36.0-35.5	34.9	496(-8)			(ジョバンニ)	7127.4
2022105102	2024/11/16	5東京5	曇	11	東京スポーツ杯2歳S(GII)		9	4	4	2.2	1	1	北村友一	56	芝1800	良	**	1:46.8	-0.1	**	3-3-2	36.1-33.4	33.3	504(+24)			(サトノシャイニング)	3831.5
2022105102	2024/06/09	3東京4	曇	5	2歳新馬		11	6	6	6.1	3	1	北村友一	55	芝1800	良	**	1:46.7	-0.4	**	2-2-2	36.9-33.9	33.8	480(0)			(アルレッキーノ)	720.0
2022101420	2025/02/09	1京都4	晴	11	きさらぎ賞(GIII)		10	8	10	2.7	1	1	西村淳也	57	芝1800	稍	**	1:47.0	-0.5	**	6-6	34.4-35.7	35.1	492(0)			(リンクスティップ)	4136.4
2022101420	2024/11/16	5東京5	曇	11	東京スポーツ杯2歳S(GII)		9	8	9	5.7	3	2	松山弘平	56	芝1800	良	**	1:46.9	0.1	**	1-1-1	36.1-33.4	33.5	492(+2)			クロワデュノール	1509.0
2022101420	2024/09/22	3中京7	小雨	5	2歳新馬		11	6	6	3.6	2	1	松山弘平	55	芝2000	良	**	2:04.3	-0.3	**	2-2-3-3	39.4-34.2	33.7	490(0)			(ミラージュナイト)	720.0
2022105991	2025/02/16	1東京6	曇	11	共同通信杯(GIII)		9	8	8	3.9	2	8	北村宏司	57	芝1800	良	**	1:47.7	1.7	**	1-1-1	36.4-34.2	35.9	504(0)			マスカレードボール	
2022105991	2024/11/16	5東京5	曇	11	東京スポーツ杯2歳S(GII)		9	7	7	2.7	2	3	ルメール	56	芝1800	良	**	1:47.1	0.3	**	2-2-3	36.1-33.4	33.5	504(+4)			クロワデュノール	954.5
2022105991	2024/10/05	4東京1	小雨	5	2歳新馬		12	2	2	2.1	1	1	北村宏司	56	芝2000	稍	**	2:02.4	-0.7	**	2-2-2	37.5-33.8	33.4	500(0)			(ウィクトルウェルス)	720.0
2022104720	2025/02/09	1東京4	晴	9	ゆりかもめ賞(1勝クラス)		11	3	3	2.4	1	2	キング	57	芝2400	良	**	2:28.0	0.2	**	6-6-8-8	37.4-33.8	33.5	464(+10)			ウィクトルウェルス	447.0
2022104720	2024/11/16	5東京5	曇	11	東京スポーツ杯2歳S(GII)		9	3	3	8.0	4	4	菅原明良	56	芝1800	良	**	1:47.2	0.4	**	6-5-5	36.1-33.4	33.4	454(+14)			クロワデュノール	570.0
2022104720	2024/08/31	2札幌7	晴	11	札幌2歳S(GIII)		12	6	8	3.5	1	3	鮫島克駿	55	芝1800	重	**	1:50.5	0.2	**	11-11-10-5	36.3-37.2	36.4	440(-2)			マジックサンズ	786.3
2022104720	2024/07/28	1札幌4	曇	5	2歳新馬		12	5	5	5.0	3	1	佐々木大	55	芝1800	重	**	1:50.5	-0.2	**	3-3-2-1	37.5-35.0	34.8	442(0)			(ロパシック)	720.0
2022110054	2025/01/05	1中京1	晴	7	3歳1勝クラス		9	7	7	5.5	3	2	三浦皇成	57	芝2000	良	**	2:01.0	0.1	**	7-7-6-6	36.9-35.3	34.3	480(-4)			ミッキーゴールド	320.0
2022110054	2024/12/28	5中山9	晴	11	ホープフルS(GI)		18	4	8	35.1	9	9	三浦皇成	56	芝2000	良	**	2:01.7	1.2	**	16-16-15-13	36.0-35.5	35.3	484(+6)			クロワデュノール	
2022110054	2024/11/16	5東京5	曇	11	東京スポーツ杯2歳S(GII)		9	5	5	16.5	5	5	三浦皇成	56	芝1800	良	**	1:47.3	0.5	**	8-7-7	36.1-33.4	33.3	478(+14)			クロワデュノール	380.0
2022110054	2024/06/30	2福島2	曇	5	2歳新馬		16	2	4	5.2	3	1	三浦皇成	55	芝1800	良	**	1:49.9	-0.2	**	11-12-11-11	37.1-35.3	34.4	464(0)			(ニヴルヘイム)	720.0
2022104715	2025/01/13	1中京5	晴	11	日刊スポシンザン記念(GIII)		15	3	5	8.8	5	6	藤岡佑介	57	芝1600	良	**	1:35.8	1.2	**	9-11-10	35.1-35.8	36.1	488(+2)			リラエンブレム	
2022104715	2024/11/16	5東京5	曇	11	東京スポーツ杯2歳S(GII)		9	2	2	19.7	6	6	西村淳也	56	芝1800	良	**	1:47.7	0.9	**	3-3-5	36.1-33.4	33.9	486(+12)			クロワデュノール	
2022104715	2024/08/10	3新潟1	晴	5	2歳新馬		16	3	6	3.4	2	1	戸崎圭太	55	芝1800	良	**	1:47.8	-0.1	**	2-2	36.1-34.7	34.1	474(0)			(エデルクローネ)	720.0
2022104859	2025/02/02	1東京2	小雨	9	セントポーリア賞(1勝クラス)		13	8	12	18.7	5	3	西村淳也	57	芝1800	良	**	1:48.5	0.3	**	7-7-8	36.1-34.8	34.5	494(+4)			エネルジコ	284.0
2022104859	2024/11/16	5東京5	曇	11	東京スポーツ杯2歳S(GII)		9	6	6	35.9	7	7	横山武史	56	芝1800	良	**	1:47.7	0.9	**	6-7-7	36.1-33.4	33.7	490(+4)			クロワデュノール	
2022104859	2024/10/20	4東京6	晴	3	2歳未勝利		10	8	10	2.3	1	1	横山武史	56	芝1800	良	**	1:50.0	-0.4	**	7-6-6	37.2-33.9	33.5	486(+2)			(ソナタン)	550.0
2022104859	2024/07/13	1函館11	晴	1	2歳未勝利		10	5	5	1.5	1	2	佐々木大	55	芝1800	良	**	1:51.8	0.4	**	6-6-4-3	36.9-36.4	36.3	484(-4)			イガッチ	220.0
2022104859	2024/06/30	1函館8	曇	5	2歳新馬		11	1	1	11.5	5	3	佐々木大	55	芝1800	良	**	1:51.2	0.3	**	10-10-7-7	36.5-36.1	35.6	488(0)			ゴーゴータカシ	180.0
2022100540	2025/01/26	1中山9	晴	9	若竹賞(1勝クラス)		11	8	11	117.8	9	9	武藤雅	57	芝1800	良	**	1:50.3	0.8	**	7-5-1-1	37.8-36.5	37.3	466(+6)			リトルジャイアンツ	
2022100540	2024/11/16	5東京5	曇	11	東京スポーツ杯2歳S(GII)		9	1	1	236.6	9	8	武藤雅	56	芝1800	良	**	1:48.0	1.2	**	9-9-9	36.1-33.4	33.8	460(-2)			クロワデュノール	
2022100540	2024/11/03	5東京2	晴	9	百日草特別(1勝クラス)		8	2	2	42.2	6	7	三浦皇成	56	芝2000	良	**	2:04.1	1.1	**	5-1-1	38.3-34.2	35.3	462(+10)			ショウナンマクベス	
2022100540	2024/08/31	2札幌7	晴	11	札幌2歳S(GIII)		12	5	6	41.2	8	10	永野猛蔵	55	芝1800	重	**	1:52.9	2.6	**	9-9-8-12	36.3-37.2	38.9	452(-8)			マジックサンズ	
2022100540	2024/06/30	2福島2	曇	1	2歳未勝利		7	3	3	8.2	4	1	菅原明良	55	芝1800	良	**	1:48.2	-0.2	**	6-6-6-4	35.3-36.1	35.6	460(+2)			(ライヴバフィ)	550.0
2022100540	2024/06/09	3東京4	曇	5	2歳新馬		11	6	7	30.4	6	6	武藤雅	55	芝1800	良	**	1:49.1	2.4	**	8-8-8	36.9-33.9	35.2	458(0)			クロワデュノール	
2022107202	2025/01/26	1中山9	晴	9	若竹賞(1勝クラス)		11	8	10	27.4	6	5	三浦皇成	57	芝1800	良	**	1:50.0	0.5	**	5-3-3-3	37.8-36.5	36.7	460(+4)			リトルジャイアンツ	111.0
2022107202	2024/11/16	5東京5	曇	11	東京スポーツ杯2歳S(GII)		9	8	8	61.6	8	9	田辺裕信	56	芝1800	良	**	1:48.4	1.6	**	3-5-3	36.1-33.4	34.7	456(+4)			クロワデュノール	
2022107202	2024/09/16	4中山5	曇	4	2歳未勝利		12	3	3	11.0	4	1	三浦皇成	55	芝1800	良	**	1:49.1	0.0	**	1-1-1-1	37.6-35.0	35.0	452(+8)			(ベールドインパクト)	550.0
2022107202	2024/08/04	2新潟4	晴	3	2歳新馬		9	4	4	12.5	3	3	三浦皇成	55	芝1800	良	**	1:51.3	0.4	**	1-1	37.9-33.7	34.1	444(0)			ジェゼロ	180.0
