race_id	horse_id	jockey_id	trainer_id	owner_id	rank	umaban	wakuban	tansho_odds	popularity	impost	sex	age	weight	weight_diff
202401010101	2022105762	1188	1133	180800	4	1	1	5.9	2	55.0	1	2	410	6
202401010101	2022106999	1169	1064	897009	2	2	2	10.2	4	55.0	1	2	452	-2
202401010101	2022100639	1170	1113	170800	3	3	3	7.9	3	55.0	0	2	416	6
202401010101	2022100660	1199	1186	170800	5	4	4	21.3	5	54.0	0	2	438	-2
202401010101	2022105244	1197	1192	42033	1	5	5	1.2	1	55.0	0	2	462	-2
202401010102	2021102364	1096	1035	563002	11	1	1	172.5	12	57.0	0	3	444	-8
202401010102	2021100650	1102	1082	482002	1	2	2	3.9	2	55.0	1	3	474	-2
202401010102	2021104459	1214	1124	966007	6	3	3	16.0	8	52.0	1	3	476	0
202401010102	2021103742	1188	1023	61800	7	4	4	14.1	7	57.0	0	3	482	-4
202401010102	2021105345	1170	1148	224007	12	5	5	5.7	3	57.0	0	3	486	0
202401010102	2021101558	666	1094	515800	2	6	5	9.4	6	57.0	0	3	494	4
202401010102	2021101653	1205	1182	3060	4	7	6	3.9	1	52.0	1	3	474	-2
202401010102	2021100648	1199	1128	281008	3	8	6	44.4	9	54.0	1	3	434	0
202401010102	2021103998	1195	1056	800033	9	9	7	167.0	11	54.0	2	3	486	-6
202401010102	2021100728	1169	1167	117800	5	10	7	90.0	10	55.0	1	3	424	8
202401010102	2021107237	1157	1093	236033	10	11	8	8.2	5	55.0	1	3	438	4
202401010102	2021101803	1197	1189	373008	8	12	8	6.1	4	57.0	0	3	458	6
202401010103	2021103371	1214	1176	798033	5	1	1	31.9	7	54.0	0	3	462	-4
202401010103	2021101030	1205	1167	253030	9	2	2	257.8	13	54.0	0	3	472	0
202401010103	2021109073	1140	1101	52009	4	3	3	9.7	5	57.0	0	3	450	8
202401010103	2021102980	666	1191	523005	1	4	3	3.6	2	57.0	0	3	522	14
202401010103	2021102898	641	1096	80005	8	5	4	80.5	9	55.0	1	3	472	-4
202401010103	2021101266	1091	1106	18034	3	6	4	6.8	4	57.0	0	3	442	-6
202401010103	2021103316	1144	1065	629031	2	7	5	10.0	6	57.0	0	3	456	0
202401010103	2021104392	1170	1153	399009	10	8	5	2.5	1	57.0	0	3	458	0
202401010103	2021100179	1169	437	600031	6	9	6	214.5	12	57.0	0	3	510	-10
202401010103	2021100298	1197	1111	723033	13	10	6	140.2	11	57.0	0	3	430	-2
202401010103	2021100045	1188	1116	40803	11	11	7	59.8	8	57.0	0	3	506	-2
202401010103	2021105765	1115	1002	441007	14	12	7	6.8	3	57.0	0	3	450	-6
202401010103	2021102262	1015	431	970006	12	13	8	333.6	14	55.0	1	3	444	-12
202401010103	2021102630	1157	1107	972002	7	14	8	106.0	10	57.0	0	3	484	4
202401010104	2021107002	1177	1106	137030	14	1	1	104.7	13	55.0	1	3	454	-4
202401010104	2021104946	1168	1163	29803	11	2	2	4.4	2	55.0	1	3	464	-2
202401010104	2021102467	1195	1091	531006	13	3	3	166.7	14	52.0	1	3	470	22
202401010104	2021105033	1214	1129	415800	2	4	3	40.4	11	52.0	1	3	428	2
202401010104	2021103030	1199	1134	553031	4	5	4	22.8	8	54.0	1	3	422	-4
202401010104	2021103328	1188	1068	629800	5	6	4	18.2	7	55.0	1	3	456	4
202401010104	2021105091	1096	1171	415800	7	7	5	39.3	10	55.0	1	3	442	8
202401010104	2021105390	1115	1180	781800	1	8	5	5.0	4	55.0	1	3	424	6
202401010104	2021105487	1091	420	226800	8	9	6	18.2	6	55.0	1	3	446	2
202401010104	2021103861	1205	1194	370008	3	10	6	28.2	9	52.0	1	3	392	10
